name,item_code,code,hsncode,is_product_serial
KPHONE 9 KARBONN,1100003,,85171290,1
D1 DETEL,1100004,,85171290,1
D800 DETEL,1100005,,85171290,1
A1 GIONEE  BLACK,1100007,,85171290,1
A1 GIONEE  GREY,1100008,,85171290,1
A1 GIONEE  LITE BLACK,1100009,,85171290,1
A1 GIONEE  LITE GOLD,1100010,,85171290,1
A1 GIONEE  PLUS BLACK,1100011,,85171290,1
A1 GIONEE  PLUS GOLD,1100012,,85171290,1
P5L GIONEE,1100015,,85171290,1
P7 GIONEE  MAX GOLD,1100016,,85171290,1
P7 GIONEE  MAX GREY,1100017,,85171290,1
X1 GIONEE  GOLD,1100019,,85171290,1
HONOR 8 HUAWEI  LITE BLUE,1100025,,85171290,1
HONOR 9I HUAWEI  BLUE,1100027,,85171290,1
HONOR 9I HUAWEI  GOLD,1100028,,85171290,1
HONOR BEE 2 HUAWEI,1100029,,85171290,1
HONOR HOLLY 2+ HUAWEI,1100031,,85171290,1
HONOR HOLLY 3  HUAWEI  GOLD,1100033,,85171290,1
HONOR HOLLY 3  HUAWEI  WHITE,1100034,,85171290,1
HONOR HOLLY 4 HUAWEI,1100036,,85171290,1
HONOR HOLY 4+ HUAWEI  GOLD,1100037,,85171290,1
HONOR HOLY 4+ HUAWEI  GREY,1100038,,85171290,1
HONOR HOLY 4+ HUAWEI  SILVER,1100039,,85171290,1
IBALL SLIDE SNAP 4G2 TAB,1100043,,84713090,1
IPHONE SE 32GB GREY,1100067,,85171290,1
IPHONE SE 32GB ROSE GOLD,1100068,,85171290,1
IPHONE SE 32GB GOLD,1100072,,85171290,1
AQUA LIONS INTEX  4G,1100073,,85171290,1
I1518 ITEL,1100079,,85171290,1
S41 ITEL,1100082,,85171290,1
A1 KARBONN  INDIAN,1100083,,85171290,1
AURA NOTE KARBONN  4G,1100086,,85171290,1
K10 KARBONN,1100088,,85171290,1
K49 KARBONN  ROCK,1100094,,85171290,1
A77 LAVA,1100099,,85171290,1
A97 LAVA  IPS,1100101,,85171290,1
X41 LAVA  PLUS,1100105,,85171290,1
K6 NOTE LENOVO  3GB GOLD,1100109,,85171290,1
K8 NOTE 3GB LENOVO  BLACK,1100114,,85171290,1
K8 NOTE 3GB LENOVO  GOLD,1100115,,85171290,1
H930 LG  V30 PLUS BLACK,1100120,,85171290,1
H930 LG  V30 PLUS SILVER,1100121,,85171290,1
X240I LG  K8 BLACK BLUE,1100130,,85171290,1
X240I LG  K8 GOLD BLACK,1100131,,85171290,1
C1 MICRO MAX  CANVAS 1,1100133,,85171290,1
Q300 MICRO MAX,1100135,,85171290,1
Q402 MICRO MAX BHARATH 2 PLUS,1100138,,85171290,1
Q402 MICRO MAX BHARATH 2 ULTRA,1100139,,85171290,1
Q402+ MICROMAX  BHARAT2+,1100140,,85171290,1
Q4310 MICRO MAX  CANVAS 2,1100143,,85171290,1
Q440 MICRO MAX  BHARATH 4,1100145,,85171290,1
X072 MICRO MAX,1100149,,85171290,1
X097 MICROMAX,1100150,,85171290,1
X328 MICRO MAX,1100153,,85171290,1
