T001,ADILABAD,"DO NO: :4-2-492  ,Opp: GANESH THEATRE"," CINIMA ROAD , ADILABAD",,504001,ADILABAD,Telangana
T002,ALWAL,"D.NO: 1-11-96 , PLOT NO:4","Sri venkateswara Co-operative housing society Ltd ,Golnaka","Alwal Village ,Malkajgiri Mandal ,R.R District ",500010,HYDERABAD,Telangana
T004,AMEERPET-1,"SHOP NO 02 ,  DO.NO. 6-3- 788/32/2 "," J.P.COMPLEX  , NEAR CHANDANA BROTHERS  OPP. SITHARA HOTEL"," AMEERPET , HYDERABAD - 500016 ",500016,HYDERABAD,Telangana
T005,AMEERPET-2,"SHOP NO : 14  , D.No.8-3-948","949 , Image trade Centre"," YELLAREDDY GUDA  ,Ameerpet , Hyderabad ",500016,HYDERABAD,Telangana
T006,AMEERPET-3,"Door No. 28 , Huda Maitrivanam"," Ameerpet , Hyderabad", PIN:500018,500038,HYDERABAD,Telangana
T007,AS RAO NAGAR,"D.NO: 1-18-3 , MIG-B-1","Plot No:1  ,Abutting Main road","Kapra Circle , Keesara Mandal ,RR District ",500062,HYDERABAD,Telangana
T008,ATTAPUR,"D.NO: 3-4-179 , PILLAR NO 143","HYDERGUDA ,ATTAPUR DIVISION","RANGA REDDY (DT) ,TELANGANA-500048 ",500048,HYDERABAD,Telangana
T009,BALANAGAR,"D.No.6-3-134/1 , Plot No.21"," Balangar , ",,500042,HYDERABAD,Telangana
T010,BANJARAHILLS-12,"Door NO.8-2-630 ,   Road No-12"," Banjara Hills ,  Hyderabad",,500042,HYDERABAD,Telangana
T011,BEGUMPET,"6-3-1192/1/1/G1 B , Block 1","  Ground Floor , White House"," Kundan Bagh , Begumpet , Hyderabad -PIN:500016 ",500016,HYDERABAD,Telangana
T012,BODHAN,"D.NO: 1-4-341/1/A , NEW BUS STAND"," MAIN ROAD , BODAHN", NIZAMABAD DT,503185,BODHAN,Telangana
T013,BODUPPAL,"PLOT NO: 211 ,GROUND FLOOR","WARANGAL HIGH WAY ,PEARZADIGUDA VILLAGE","GHATKESAR MANDAL , BODUPPAL- 500039 ",503185,HYDERABAD,Telangana
T014,BOWENPALLY,"DOOR NO:1&2 , GROUND FLOOR","PLOT NO:63/A ,ICRISAT COLONY","BAPUJI NAGAR ,BOWENPALLY ,HYD-500009//Opp to Vijaya bank ,Beside Gansyam super market ,Bapuji nagar ,Bowenpally",500009,HYDERABAD,Telangana
T016,CHANDANAGAR-1,"D.NO 2-74 & 76 RAVENDHRA RESIDENCY  , BESIDE SWAGATH HOTEL "," OPP. KARUR VYSYA BANK ,",,500082,HYDERABAD,Telangana
T017,CHANDANAGAR-2,"Door No. 2-25 , Chandanagar","  DESIDE KFC  , Hyderabad", Pin:500050,500050,HYDERABAD,Telangana
T018,CHINTAL,"D.NO:5-128 & 129 ,Ground Floor","Chandra Nagar ,Chintal Village","Quthbullapur Madal ,Telangana ",500054,HYDERABAD,Telangana
T019,DILSUKHNAGAR-1,"D.NO 16-11-740/5/A , SHOP NO : 17"," ,",,500036,HYDERABAD,Telangana
T020,DILSUKHNAGAR-2,"Shop No.28 , 17-85/C/106"," Annapurna Complex , Dilsukhnagar"," Hyderabad , PIN: 500060 ",500060,HYDERABAD,Telangana
T021,GADWAL,"Plot NO.113 ,  RAJIV MARG","  OPP MEESEVA  , NEAR BY BSNL OFFICE ", GADWAL - 509 125,509125,GADWAL,Telangana
T022,GODAVARIKHANI,"D.No.18-5-117-120 & 124 , Lakhsmi Nagar"," Godavarikhani , Karimnagar–505209.",,505209,GODAVARIKHANI,Telangana
T023,HANUMAKONDA-1,"D.NO.3-3-14 ,MAIN ROAD","CHOWRASTA , HANUMAKONDA.  WARANGAL DIST.",,506001,Hanumakonda,Telangana
T024,HANUMAKONDA-2,"Shop No.1 ,2","3 , H.No.5-9-157-177"," GMR & GS Complex , Opp: Police Grounds , Kishanpura , Hanumakonda-506001. , ,",506001,Hanumakonda,Telangana
T025,HANUMAKONDA-3,"D.No.6-7-107 ,  Ranganna Darwaza"," Opp: Amrutha Theatre , Hanumakonda.",,506001,Hanumakonda,Telangana
T026,HANUMAKONDA-4,"Opp Post office , Near Amrutha theatre","Hanumokda ,",,506001,Hanumakonda,Telangana
T027,HIMAYATNAGAR-1,"36-12 & 13 GROUND FLOOR , MAIN ROAD"," ,",,500029,HYDERABAD,Telangana
T028,HITECH CITY,"PLOT NO 61 , MADHAPUR PLAZA"," OPP. PETROL BUNK , SERLINGAMPALLY(M)",,500081,HYDERABAD,Telangana
T029,KAMAREDDY,"D.NO:5-3-227 ,NATIONAL HIGH WAY ROAD","KAMAREDDY TOWN , NIZAMABAD(DT)",TELANGANA-503111,503111,KAMAREDDY,Telangana
T030,KAMAREDDY-2,"D.NO: 1-10-43/1 , WARD NO:1"," BLOCK NO:10 ,SIRICILLA ROAD",KAMAREDDY,503111,Karimnagar,Telangana
T031,KARIMNAGAR-1,"SHOP No.18 , MANKAMMA THOTA"," NEAR 2-TOWN POLICE STATION ,  VEMULA VADA ROAD", KARIM NAGAR.,505001,Karimnagar,Telangana
T033,KARIMNAGAR-3,"H.No.3-1-404 , Ambedkar Road"," Beside HDFC Bank , Crishtian colony",Karimangar-505001,505001,Karimnagar,Telangana
T034,KARIMNAGAR-4,"H.No.2-7-994 & 524/A ,  G3-G6"," Mukarampura , Karimnagar. Pin:505001",,505001,Karimnagar,Telangana
T035,KHAMMAM-1,"DOOR No.9-3-93 , OPP:MUNCIPAL OFFICE","KHAMMAM ,",A.P,507001,Khammam,Telangana
T036,KHAMMAM-2,"D.NO.11-3-99 , OPP: LIC OFFICE ","WYRA ROAD , KHAMMAM"," ,A.P ",507001,Khammam,Telangana
T037,KHARKHANA-1,Close ," ,",,500015,Khammam,Telangana
T038,KHARKHANA-2,"PLOT NO:27 , SY NO: 60","61 AND 62/1 , GROUND FLOOR","KAKAGUDA ,SECUNDERABAD-500003 ",500009,HYDERABAD,Telangana
T039,KHAZIPET,"D.No: 1-3-179 ,  Beside Khazipet Police Station","  Kazipet. ,",,506003,WARANGAL,Telangana
T040,KONDAPUR,"D.No.2-40/1/4/2 , KONDAPUR"," KOTHAGUDA Villege. ,   RR Dist.",,500084,KONDAPUR,Telangana
T041,KOTHAGUDA,"D.NO: 1-63/1/1 , KOTHAGUDA X ROADS"," KOTHAGUDA ,KONDAPUR VILLAGE","SERILINGAPALLY MANDAL ,RANGA REDDY DT ,TELANGANA-500084 ",500084,RANGAREDDY,Telangana
T042,KOTHAGUDEM,"D.No.5-8-145 ,  KRISHNA PRASAD COMPLEX"," M.G.ROAD , KOTHAGUDEM",,507101,KHAMMAM,Telangana
T043,KUKATPALLY,"SHOP NO 05 , KPHB COMMERCIL COMPLEX"," ,",,500072,KUKATPALLY,Telangana
T044,KUKATPALLY-BALAJI NAGAR,"Sy No: 1092/A and 1092/C being part of Sy No: 1092 , Bearing Plot No. 18 &19  Balaji Nagar"," Kukatapally Village Hyderabad ,",,500072,HYDERABAD,Telangana
T045,KUKATPALLY-BJP,"5-1-64/5/2 , Plot No-8/A"," Grond floor , Vimala Towers"," Kukatpally , Hyderabad , Pin:500072 ",500072,HYDERABAD,Telangana
T046,KUKATPALLY-PEPE,Close ," ,",,500072,HYDERABAD,Telangana
T047,LALBANGLAW,"D.NO 6-3-682/A1 &A2  , SHOP NO 7 ","OPP. DR. REDDY LAB , AMEERPET", HYDERABAD - 500016,500016,HYDERABAD,Telangana
T048,LALBANGLAW-2," D.No.6-3-866/A , Greenlands Road"," Begumpet , Hyderabad",,500016,HYDERABAD,Telangana
T049,LANGAR HOUSE,"Shop No.G-1 , Om Chaitanya Samruddhi"," 9-1-369/27 ,28 & 29"," Langer House , Hyderabad , Pin: 500008 ",500008,HYDERABAD,Telangana
T050,MADHAPUR,"D.No-1-90/2/G1 ,Ground Floor","Floot No -20 ,SY No-76","Arunadaya Co Housing Socity ,Madhapur Pin:500081 ",500081,HYDERABAD,Telangana
T051,MAHABOOBNAGAR,"Shop No.2-3-13/a , RAICHUR Rd."," Srisaibalaji Towers , MAHABOOBNAGAR -",,509001,MAHABOOB NAGAR,Telangana
T052,MAHABUBABAD,"D.NO: 6-3-53/11 ,NEAR NEHRU PARK CHOWK","MAHABUBABAD ,WARANGAL (DT)",TELANGANA-506101,506101,MAHABUBABAD,Telangana
T053,MALAKPET,"Shop No.16-2-705/5B , Beside Susrutha Hospital"," New Malakpet , Hyderabad - 500036",,500036,HYDERABAD,Telangana
T054,MALKAJGIRI,"SHOP NO.4-138 , MARUTI NAGAR"," MALKAJGIRI , SECUNDERABAD",,500047,MALKAJGIRI,Telangana
T055,MALLAPUR,"D.No.5-1-91/4 , E.R.M.R. Complex"," ANNAPURNA COLONY , MAIN ROAD"," MALLAPUR , RR DIST. ",500076,RANGAREDDY,Telangana
T056,MANCHIRYALA,"D.No: 7-61 ,  Opp: Venkateswara Theatre"," Ganga Reddy Road , Mancheryal",  Adilabad Dist,504208,MANCHIRYALA,Telangana
T057,MANCHIRYALA-2,"D.No.6-228 ,  Gangareddy Road"," Mancherial. PIN: 504208 ,",,504208,MANCHIRYALA,Telangana
T058,MANJEERA-MAJESTIC,"Shop No.3 , Ground Floor"," MANJEERA  MEJESTIC , JNTU Road"," Kukatpalli ,Hyd. ",500072,KUKATPALLY,Telangana
T059,MEDCHAL,"D.NO: 13-162 ,Ground Floor","Raghavendra Nagar ,Medchal Village",RR District,501401,RANGAREDDY,Telangana
T060,MEHADIPATNAM,"D.NO 10-3-76/10 & 10 A OSMAN PLAZA , OPP PILLAR NO 10 "," NEAR BY POLICE STATION  ,",,500028,HYDERABAD,Telangana
T061,MIRYALAGUDA,"SHOP NO 45 ,MUNCIPAL COMPLEX","SAGAR RD ,MIRAYALAGUDA",,508207,MIRYALAGUDA,Telangana
T062,NAGOLE,"D.No.2-4-1056 , Beside Swathi Restaurant"," New Samathapuri Colony , Nagole X Roads. ",,500035,HYDERABAD,Telangana
T063,NALGONDA,"D.No. 6-2-628 ,LAKSHMI NIVAS","OPP: BIG  MARKET , HYD ROAD NALGONDA",,508001,Nalgonda,Telangana
T064,NARSAMPET,"D. No.2-33 ,  Ambedhkar Circle"," Narsampet , Warangal District",,506132,NARSAMPET,Telangana
T065,NIZAMABAD,D.NO 7-11-48 ,",NEHRU PARK","NIZAMABAD ,",503001,NIZAMABAD,Telangana
T066,NIZAMABAD-2,"SHOP NO.3 & 4 , LALITA COMPLEX"," BESIDE  HARICHARAN MARWADI HIGH SCHOOL , ",NEAR BUS STAND,503001,Nizamabad,Telangana
T067,NIZAMABAD-3,"D.NO: 5-6-510/4/1 ,2","3 , SARASWATHI NAGAR",NIZAMABAD,503002,Nizamabad,Telangana
T068,PANAJGUTTA,"SHOP NO.1 , GOKUL TOWERS"," OPP. MODEL HOUSE ,",,500082,Nizamabad,Telangana
T069,WARANGAL-3,"Opp: Kakatiya Medical College , Beside Hotel City Grand"," Warangal , Mulugu Road", Pin:506007,506007,WARANGAL,Telangana
T070,RAMANTHAPUR,"Door  No. 2-3-528/A/1 , Rahathnagar"," Amberpet , Pin:500013",,500013,HYDERABAD,Telangana
T071,RTC CROSS ROADS,"D.No.1-8-524/12 ,  PNR  Arcade","  MAIN ROAD , CHIKKADAPALLY", HYD. 500020,500020,HYDERABAD,Telangana
T072,SANGAREDDY,"D.NO.3-5-71 , BESIDE COURTS"," MAIN ROAD , SANGA REDDY",,502001,SANGAREDDY,Telangana
T073,SANTOSH NAGAR,"D.NO: 9-7-202 to 9-7-206 , LB NAGAR MUNCIPALITY"," NEAR YADAGIRI THEATRE , SANTOSH NAGAR-500059",,500059,HYDERABAD,Telangana
T074,SD ROAD,"D.NO 100 , S.D. ROAD"," OPP. MINERVA COMPLEX ,",,500003,HYDERABAD,Telangana
T075,SIDDIPET,"D.No: 11-1-11 , Medak Road"," Siddipet , ",,502103,Siddipet,Telangana
T076,SIRICILLA,"D.NO: 8-3-36/37 ,GROUND FLOOR","GANDHI NAGAR ,SIRICILLA/Ambedkar Road", Near Muncipal office,505301,Sircilla,Telangana
T077,SURYAPET,"D. no. 1-2-270/45/2 , MG Road Suryapet"," Nalgonda District ,",,508213,Suryapet,Telangana
T078,TARNAKA,"D.NO. 3 , NOMA ENCLAVE"," HABSIGUDA ,",,500007,HYDERABAD,Telangana
T079,UPPAL,"D.No: 2-3-35/1/A , Uppal Main Road"," Hyderabad. ,",,500039,HYDERABAD,Telangana
T080,VANASTHALIPURAM-1,"D.No: 6-2-486 , B 438"," LIG Phase II , Vanastalipuram", RR Dist.,500070,HYDERABAD,Telangana
T081,VANASTHALIPURAM-2,"D.No.6-1-200/14 ,  Vanasthalipuram"," Shenbnagar , Kalan Village"," Hayathnagar Mandal , R.R. District. ",500070,HYDERABAD,Telangana
T082,VIDYANAGAR,"D.No. 1-9-646/1-4 , Adikmet Road"," Vidyanagar , Hyderabad",,500044,HYDERABAD,Telangana
T083,VIKARABAD,"D.NO 4-1-775 , GROUND FLOOR","ALLAMPALLI MAIN ROAD ,VIKARABAD",,501101,VIKARABAD,Telangana
T084,WARANGAL,"WARANGAL CHOWRASTA , J.P.N.ROAD"," WARANGAL ,",,506002,Warangal,Telangana
T085,MIYAPUR,"Shop D.No.1-215 , G-5&6"," ground floor , Miyapur"," Seri Lingampally , Ranga Reddy District ",500049,HYDERABAD,Telangana
T086,WARANGAL-2,"H. No.9-8-78 ,  Opp: Nirmala Mall"," J.P.N. Road ,  Warangal.Pin:506002",,506002,Warangal,Telangana
T087,ZAHEERABAD,"SHOP NO: 3-3-97/1C-1B-132/0 , SUBASH GANJ"," MAIN ROAD ,ZAHEERABAD",SANGAREDDY (DT)-502220,502220,ZAHEERABAD,Telangana
T088,TOLICHOWKI,"D.NO: 8-1-400/48/B AND 48/C , DELUX COLONY","TOLICHOWKI ,TELANGANA-500028",,500008,HYDERABAD,Telangana
T089,KUKATPALLY-JNTU,"D.NO:15-31-2 , L-15/7","BLOCK-15 ,F.NO:7"," PHASE NO:3 ,KUKATPALLY ",500085,HYDERABAD,Telangana
T090,MIRYALAGUDA-2,"D.NO: 20-11/11 , GROUND FLOOR","OPP Bus stand , Sagar Road"," Nalgonda Dt , Miryalaguda , Telangana ",508207,MIRYALAGUDA,Telangana
T091,HIMAYATHNAGAR-2,"Shop No: 1 & 2 ,D.No: 3-6-726"," Street No: 12 ,Himayathnagar",Hyderabad-500009,500009,HYDERABAD,Telangana
T092,S.R.NAGAR,Door No:8-3-191/8(21A) ,situated in vengal rao nagar ,Hyderabad.,500038,HYDERABAD,Telangana
T093,B.N.REDDY NAGAR,"PLOT NO: 3 ,SURVEY NO.59","GROUND FLOOR ,BESIDE CANARA BANK","B.N REDDY NAGAR , SAGAR ROAD ",500070,HYDERABAD,Telangana
T094,NEREDMET,"SHOP NO G-2 , NAGARJUNA ARCADE "," SREE COLONY  ,",,500056,HYDERABAD,Telangana
T095,BEERAMGUDA,"Plot no: 5 , H.No: 25-35/3/B"," Survey no: 165 ,167"," Mangeera water line , N.H. 9  , Sangareddy , Medak District , ,",502032,MEDAK,Telangana
T096,DILSUKHNAGAR-3,"D. No: 16-11-740/4A/7 , Main road","Near Konark Diagnosis Center , Gandiannaram", Dilshuknagar. 500036,500060,HYDERABAD,Telangana
T097,ECIL,"Door No:1-7-222(new),7-188/A(old) ",situated at kamalanagar ,"housing colony,Kapra,Kapra mandal,Medchal dist",500062,HYDERABAD,Telangana
T098,NALLAKUNTA,"SHOP NO: 2-2-1109/BK/OL , ",BHAG AMBERPET," HYDERABAD ,",500044,HYDERABAD,Telangana
T100,NIZAMPET,"D. NO 1-2-30 , PR /6/7"," SURVEY NO 48 , MCK BLOCK NO 2"," HYDERNAGAR VILLAGE  , BALANAGAR , KUKATPALLY ",500090,HYDERABAD,Telangana
T101,KODAD,"D. NO 10-144  , GROUND FLOOR"," NEAR KALYAN CHAKRAVARTHI LODGE , HUZUR NAGAR RAOD", KODAD.,508206,KODAD,Telangana
T102,CHAITANYAPURI-2,"Ome complex. Shop No: 2-42/11, ","Main road, Chaitanyapuri, ",Hyderabad,500036,CHAITANYAPURI-2,Telangana
