A001,ADONI,"D.No.121/371 ,  Adoni Faridsaheb Darga Street"," Main Road , Adoni.", Kurnool Dist.,518301,ADONI,Andhra Pradesh
A002,AMALAPURAM,"D.NO: 7-1-6  ,S.LO.NO:417/48 A ","HIGH SCHOOL ROAD , OPP.SRIDEVI LODGE", AMALAPURAM - 533 201.,533201,AMALAPURAM,Andhra Pradesh
A003,AMALAPURAM-2,"D.NO:2-3-18/3 ,CINEMA ROAD","EAST GODAVARI(DT) ,AMALAPURAM",AP-533201,533201,AMALAPURAM,Andhra Pradesh
A004,ANAKAPALLI,"7-8-36 , MAIN Rd."," Opp: SATYA THEATRE , ",ANAKAPALLI,531001,ANAKAPALLI,Andhra Pradesh
A005,ANANTAPUR-1,"DNO.14/401 , opp.co.operative town branch & lic of india "," SUBHASH ROAD , ",ANANTAPUR -  515 001,515001,ANANTAPUR,Andhra Pradesh
A006,ANANTHAPUR-2,"D.No.15-607 , Kamala Nagar"," Raju Road ,", Anantapur. - 515 001,515001,ANANTAPUR,Andhra Pradesh
A007,BAPATLA,"D.No:10-1-30 , Radham Bazaar"," Main Road , near by clock tower ", Bapatla - 522 101,522101,BAPATLA,Andhra Pradesh
A008,BHIMAVARAM-1,"16-2-58 ,59","NEAR NEW BUS STAND ,P.P RD"," LALITHA RAMAKRISHNA PLAZZA  , BHIMAVARAM - 534 201 ",500016,BHIMAVARAM,Andhra Pradesh
A009,BHIMAVARAM-2,"D. No.16-2-27 , P.P. Road"," Bhimavaram , W.G.Dist.", Pin:534201,534201,BHIMAVARAM,Andhra Pradesh
A010,CHILAKURIPET,"D.No.8-212 , ",CHOWTRA CENTRE,"  CHILAKALURIPET. -522 616. ,",500050,Chilakaluripet,Andhra Pradesh
A011,CHIRALA,"D.NO 30-3-40 A ,DARBAR RD"," NEAR BY VENNAL ICE CREAM  , ",CHIRALA - 523 155,523155,CHIRALA,Andhra Pradesh
A012,CUDDAPAH,"D.No.4/487 , KOTI REDDY STREET"," NEAR OLD BUSTAND  , NAGARAJUPET", KADAPA. - 516 003,516003,CUDDAPAH,Andhra Pradesh
A013,DABAGARDENS-1,"Shop NO.3 , Door No.30-15-135"," OPP INDIA POST ,MAIN ROAD","DABA GARDENS ,VSKP - 530 020 ",523155,Vishakapatnam,Andhra Pradesh
A014,DABAGARDENS-2(Sarswathi Park),"D.No.30-15-34/2 ,  NEAR SARESWATI PARK"," Main Road , OPP RAO'S FRNITURE "," Dabagardens , VISAKHAPATNAM , - 530 020 ",530020,Vishakapatnam,Andhra Pradesh
A015,DABAGARDENS-3,"Shop No. 30-15-144 , Main Road"," Daba Gardens , Visakhapatnam",,530020,Vishakapatnam,Andhra Pradesh
A016,DHARMAVARAM,"D.NO:12-172 , 12-173","12-174 ,12-175& 12-176"," Loacted R.S ROAD ,DHARMAVARAM ,ANANTAPUR (DT) , AP , ,",515671,DHARMAVARAM,Andhra Pradesh
